address,ishostedbysuperhost,location_lat,location_lng,name,numberofguests,pricing_rate_amount,pricing_rate_amountformatted,pricing_rate_currency,pricing_ratetype,primaryhost_firstname,primaryhost_hasprofilepic,primaryhost_hosturl,primaryhost_id,primaryhost_languages_0,primaryhost_languages_1,primaryhost_languages_2,primaryhost_languages_3,primaryhost_membersince,primaryhost_responserate,primaryhost_responsetime,primaryhost_smartname,roomtype,stars,primaryhost_about,identity_verified,review_count,identity_verified_1,review_count_1
"Lahore, Punjab, Pakistan",False,31.51961,74.4623,03200409962 2000per day I hv 3 rooms,2.0,17.0,17.0,USD,nightly,Sami,1.0,https://www.airbnb.com/users/show/307870190,307870190.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Sami,Private room ,5.0,I run a boys hostel at barki road greencity some times I provide place,True,0,False,0
"Rawalpindi, Punjab, Pakistan",False,33.55592,73.11811,1 Bed Apartment,3.0,24.0,24.0,USD,nightly,Usman,1.0,https://www.airbnb.com/users/show/314481994,314481994.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Usman,Entire place,5.0,Not Available,False,0,False,0
"Lahore, Punjab, Pakistan",False,31.44094,74.28388,1 Bed Brand New Corner Apartment,2.0,16.0,16.0,USD,nightly,Saqib,1.0,https://www.airbnb.com/users/show/40666245,40666245.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,1.0,within an hour,Saqib,Entire place,4.92,"I am entrepreneur, works for a construction company as well. Travelled to many countries and worked in couple too. I like to explore new destinations. I love hosting. My short term dream is to have at least a dozen apartments to welcome guests from around the world.",False,171,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.68093,72.98794,1 Bed designer apartment in posh area of Islamabad,2.0,63.0,63.0,USD,nightly,Alee,1.0,https://www.airbnb.com/users/show/196719847,196719847.0,Urdu,English,Punjabi,Pashto,Not Available,0.75,within an hour,Alee,Entire place,5.0,Not Available,False,2,True,0
"Lahore, Punjab, Pakistan",False,31.37243,74.18507,1 bed Fully furnished apartment in Sector C,4.0,37.0,37.0,USD,nightly,Momin,1.0,https://www.airbnb.com/users/show/421231999,421231999.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Momin,Entire place,5.0,Not Available,True,0,False,0
"Karachi, Sindh, Pakistan",False,24.79813,67.06801,1 Bed Furnished Dha Phase 6 Karachi,1.0,21.0,21.0,USD,nightly,Umar,1.0,https://www.airbnb.com/users/show/340628953,340628953.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within an hour,Umar,Private room,5.0,Not Available,False,0,False,0
"Lahore, Punjab, Pakistan",False,31.362,74.186,1 Bed Luxury Apartment Roadside,3.0,37.0,37.0,USD,nightly,Muhammad,1.0,https://www.airbnb.com/users/show/255755258,255755258.0,Urdu,English,Punjabi,Pashto,Not Available,0.33,a few days or more,Muhammad,Entire place,5.0,Not Available,False,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.70007,72.96707,1 bed luxury appartment,3.0,57.0,57.0,USD,nightly,Subtain,1.0,https://www.airbnb.com/users/show/378195307,378195307.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Subtain,Private room,5.0,Not Available,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.69475,72.98447,1 bed mountain View,3.0,21.0,21.0,USD,nightly,Owais Ahmad,1.0,https://www.airbnb.com/users/show/380408330,380408330.0,English,English,Punjabi,Pashto,Not Available,0.6,within a few hours,Owais Ahmad,Entire place,4.38,Not Available,False,37,True,0
"Lahore, Punjab, Pakistan",False,31.44435,74.28337,1 Bed New Studio Apartment near Shaukat Khanum,2.0,17.0,17.0,USD,nightly,Saqib,1.0,https://www.airbnb.com/users/show/40666245,40666245.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,1.0,within an hour,Saqib,Entire place,4.69,"I am entrepreneur, works for a construction company as well. Travelled to many countries and worked in couple too. I like to explore new destinations. I love hosting. My short term dream is to have at least a dozen apartments to welcome guests from around the world.",False,171,True,0
"Karachi, Sindh, Pakistan",False,24.8132,67.02347,1 Bed Room in Clifton nearby beach and malls,2.0,51.0,51.0,USD,nightly,Maisam,1.0,https://www.airbnb.com/users/show/242620807,242620807.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Maisam,Private room,5.0,A banker by profession and a freelance academic writer as well.,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.69425,72.97944,1 bed room luxury apartment,2.0,57.0,57.0,USD,nightly,Bilal,1.0,https://www.airbnb.com/users/show/397490901,397490901.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Bilal,Entire place,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.38092,74.17414,1 bed room studio apartment with free parking,4.0,26.0,26.0,USD,nightly,Sherz,1.0,https://www.airbnb.com/users/show/397455287,397455287.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Sherz,Entire place,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.37015,74.1737,1 Bedroom air conditioned comfy & relaxing,2.0,25.0,25.0,USD,nightly,Timna,1.0,https://www.airbnb.com/users/show/385218844,385218844.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Timna,Private room ,5.0,Not Available,False,3,True,0
"Lahore, Punjab, Pakistan",False,31.37655,74.1886,1 Bedroom Apartment Designer Furnished DIAMOUNT-02,2.0,49.0,49.0,USD,nightly,Babar,1.0,https://www.airbnb.com/users/show/318453240,318453240.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,0.81,within a few hours,Babar,Entire place,5.0,CEO at ALIF LAAM MEEM® - Property Consultants. Running hotel apartments and dealing in real estate in different locations of Pakistan.,False,61,True,0
"Lahore, Punjab, Pakistan",False,31.37573,74.1881,1 Bedroom Apartment Designer Furnished DIAMOUNT-03,2.0,49.0,49.0,USD,nightly,Babar,1.0,https://www.airbnb.com/users/show/318453240,318453240.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,0.81,within a few hours,Babar,Entire place,5.0,CEO at ALIF LAAM MEEM® - Property Consultants. Running hotel apartments and dealing in real estate in different locations of Pakistan.,False,61,True,0
"Lahore, Punjab, Pakistan",False,31.37552,74.18796,1 Bedroom Apartment Designer Furnished DIAMOUNT-09,2.0,49.0,49.0,USD,nightly,Babar,1.0,https://www.airbnb.com/users/show/318453240,318453240.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,0.81,within a few hours,Babar,Entire place,5.0,CEO at ALIF LAAM MEEM® - Property Consultants. Running hotel apartments and dealing in real estate in different locations of Pakistan.,False,61,True,0
"Lahore, Punjab, Pakistan",False,31.37729,74.18922,1 Bedroom Apartment Designer Furnished DIAMOUNT-10,2.0,49.0,49.0,USD,nightly,Babar,1.0,https://www.airbnb.com/users/show/318453240,318453240.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,0.81,within a few hours,Babar,Entire place,5.0,CEO at ALIF LAAM MEEM® - Property Consultants. Running hotel apartments and dealing in real estate in different locations of Pakistan.,False,61,True,0
"Karachi, Sindh, Pakistan",False,24.80179,67.04686,1 bedroom Apartment with free parking.,2.0,29.0,29.0,USD,nightly,Rehan,1.0,https://www.airbnb.com/users/show/430418164,430418164.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Rehan,Private room,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.3653,74.187,"1 Bedroom Apartment, Bahria Town Lahore DIAMOUNT01",2.0,49.0,49.0,USD,nightly,Babar,1.0,https://www.airbnb.com/users/show/318453240,318453240.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,0.81,within a few hours,Babar,Entire place,5.0,CEO at ALIF LAAM MEEM® - Property Consultants. Running hotel apartments and dealing in real estate in different locations of Pakistan.,False,61,True,0
"Lahore, Punjab, Pakistan",False,31.5199,74.37405,"1 Bedroom in Cantt, near airport. Safe location.",3.0,23.0,23.0,USD,nightly,Nofil,1.0,https://www.airbnb.com/users/show/293783226,293783226.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Nofil,Private room ,5.0,Not Available,False,0,False,0
"Karachi, Sindh, Pakistan",False,24.80464,67.03098,1 BEDROOM LUXE SUITE W/ KITCHEN / LOUNGE / DINING,2.0,56.0,56.0,USD,nightly,Amir,1.0,https://www.airbnb.com/users/show/77968852,77968852.0,Urdu,English,Punjabi,Pashto,Not Available,0.97,within an hour,Amir,Entire place,5.0,Not Available,False,38,True,0
"Lahore, Punjab, Pakistan",False,31.46891,74.41942,"1 Bedroom near Lums, in a family home.",2.0,19.0,19.0,USD,nightly,Rbea,1.0,https://www.airbnb.com/users/show/340744220,340744220.0,Urdu,English,Punjabi,Pashto,Not Available,0.9,within a few hours,Rbea,Private room ,4.67,Not Available,False,4,True,0
"Lahore, Punjab, Pakistan",False,31.439,74.27,1 Bedroom neat Home with all basic facilities,3.0,26.0,26.0,USD,nightly,Sajawal,1.0,https://www.airbnb.com/users/show/145828530,145828530.0,English,ਪੰਜਾਬੀ,Punjabi,Pashto,Not Available,0.0,a few days or more,Sajawal,Private room ,5.0,"I'm working in a multi national and love to travel. Hiking, writing etc.
Lively by heart",False,1,True,0
"Karachi, Sindh, Pakistan",False,24.8024,67.07647,1 bedroom unit with bathroom,4.0,34.0,34.0,USD,nightly,Kamran,1.0,https://www.airbnb.com/users/show/176925421,176925421.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Kamran,Private room,5.0,Not Available,False,0,False,0
"Lahore, Punjab, Pakistan",False,31.37279,74.16447,"1 Bedroom With LOunge, Lavish Apartment",4.0,37.0,37.0,USD,nightly,Asif,1.0,https://www.airbnb.com/users/show/378083802,378083802.0,Urdu,English,Punjabi,Pashto,Not Available,0.89,within a few hours,Asif,Entire place,5.0,Not Available,True,0,False,0
"Rawalpindi, Punjab, Pakistan",False,33.56548,73.11789,"1 Bedroom, 850 square feet Luxury Apartment.",2.0,56.0,56.0,USD,nightly,Abid,1.0,https://www.airbnb.com/users/show/431552845,431552845.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,0.6640330788804072,unknown,Abid,Entire place,5.0,"A family Apparent well furnished ,clean and safe and sound 24 hour security,24 electricity,no issues of water car parking ,service boy  ,gym in bulding and sports complex ,gym and pad spa, market,laundry and medical store and hospital.",False,3,True,0
"Lahore, Punjab, Pakistan",False,31.47505,74.41056,1 comfortable bedroom available.,2.0,40.0,40.0,USD,nightly,Iqra,1.0,https://www.airbnb.com/users/show/394415377,394415377.0,Urdu,English,Punjabi,Pashto,Not Available,0.5,within a day,Iqra,Private room ,5.0,Not Available,False,1,True,0
"Lahore, Punjab, Pakistan",True,31.47186,74.22937,1 Private Bed  100% Secured  Couples Allowed,2.0,11.0,11.0,USD,nightly,Razia,1.0,https://www.airbnb.com/users/show/439666682,439666682.0,English,ਪੰਜਾਬੀ,Punjabi,Pashto,Not Available,1.0,within an hour,Razia,Private room ,5.0,"Hello Guys! I've been working around different areas of the world and my job was related to customer services. Just came back recently and started this project to serve the customers with international standards. So if you are looking for healthy staying place with comfortable environment and friendly hosts, look no more. Our passion is to serve our guests with best possible ways and in best possible prices",False,28,True,0
"Karachi, Sindh, Pakistan",False,24.78238,67.05612,1 private room available with dedicated workspace and wifi,2.0,30.0,30.0,USD,nightly,Haider Ali,1.0,https://www.airbnb.com/users/show/369565518,369565518.0,English,हिन्दी,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Haider Ali,Private room,5.0,Not Available,False,1,True,0
"Lahore, Punjab, Pakistan",False,31.60831,74.31614,1 private room for family with wifi,2.0,18.0,18.0,USD,nightly,Afzal,1.0,https://www.airbnb.com/users/show/324202951,324202951.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Afzal,Private room ,5.0,Not Available,False,7,False,0
"Karachi, Sindh, Pakistan",False,24.779,67.08031,1 Private Room with all utilities.,1.0,29.0,29.0,USD,nightly,Rauf,1.0,https://www.airbnb.com/users/show/213063716,213063716.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Rauf,Private room,5.0,Not Available,False,0,False,0
"Lahore, Punjab, Pakistan",False,31.49179,74.41573,1-Bed Casa,2.0,46.0,46.0,USD,nightly,Omer,1.0,https://www.airbnb.com/users/show/387034133,387034133.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Omer,Private room ,5.0,Not Available,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.49117,73.09608,1-Bed stylish apartment in bahria heights.,3.0,37.0,37.0,USD,nightly,Ahmed,1.0,https://www.airbnb.com/users/show/149923184,149923184.0,English,हिन्दी,Punjabi,Pashto,Not Available,1.0,within an hour,Ahmed,Entire place,4.25,"Hi, I’m Ahmed. I’m an entrepreneur. Airbnb was my side hustle but I’m looking forward to take this to a different level. I have a team setup to ensure that you have a comfortable stay. 

Listings in F-8/F10/E11/Bahria town.",False,273,True,0
"Karachi, Sindh, Pakistan",False,24.82852,67.03919,1-bedroom flat on Ground Floor with Free parking,2.0,51.0,51.0,USD,nightly,Hazim,1.0,https://www.airbnb.com/users/show/310941528,310941528.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Hazim,Entire place,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.39525,74.2299,1-Bedroom Private room with air conditioning.,2.0,22.0,22.0,USD,nightly,Mateen,1.0,https://www.airbnb.com/users/show/261293373,261293373.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,1.0,within a few hours,Mateen,Private room ,5.0,Software Engineer,False,15,True,0
"Karachi, Sindh, Pakistan",False,25.01063,67.13317,1-bedroom with attach bath.24/7 Fresh Water Supply,2.0,11.0,11.0,USD,nightly,Syed Sajjad,1.0,https://www.airbnb.com/users/show/434631295,434631295.0,English,हिन्दी,Punjabi,Pashto,Not Available,0.91,within a day,Syed Sajjad,Private room,5.0,"A family oriented, hospitable, kind and fun loving individual with positive attitude towards life.",True,0,False,0
"Lahore, Punjab, Pakistan",False,31.38663,74.19511,"1-Bedroom with Attached Bath, Kitchen, Free And Safe Parking",2.0,21.0,21.0,USD,nightly,Bakir,1.0,https://www.airbnb.com/users/show/321884813,321884813.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Bakir,Private room ,5.0,Not Available,True,0,False,0
"Karachi, Sindh, Pakistan",False,24.86306,67.14897,10 mint drive through airport,4.0,29.0,29.0,USD,nightly,Fabiha,1.0,https://www.airbnb.com/users/show/398312754,398312754.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Fabiha,Private room,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",True,31.37405,74.16468,101-Lovely 1 Bedroom Apartment with Hot Shower,3.0,40.0,40.0,USD,nightly,Kamran,1.0,https://www.airbnb.com/users/show/236469852,236469852.0,English,ਪੰਜਾਬੀ,Punjabi,Pashto,Not Available,1.0,within an hour,Kamran,Entire place,4.92,Not Available,False,36,True,0
"Rawalpindi, Punjab, Pakistan",True,33.55837,73.13286,"102 Contemporary Opal Private Room, at Bahria Town",2.0,26.0,26.0,USD,nightly,Imran,1.0,https://www.airbnb.com/users/show/262015119,262015119.0,English,English,Punjabi,Pashto,Not Available,1.0,within an hour,Imran,Private room,4.71,Not Available,False,70,True,0
"Lahore, Punjab, Pakistan",False,31.4701,74.23877,10th Avenue (Family Room),2.0,40.0,40.0,USD,nightly,Azfand,1.0,https://www.airbnb.com/users/show/217225166,217225166.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Azfand,Private room ,5.0,Not Available,False,0,False,0
"Lahore, Punjab, Pakistan",False,31.47,74.238,12th Avenue,16.0,40.0,40.0,USD,nightly,12th Avenue,1.0,https://www.airbnb.com/users/show/335345797,335345797.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within a day,12th Avenue,Private room ,5.0,Not Available,False,2,True,0
"Lahore, Punjab, Pakistan",False,31.45239,74.4444,15 Minutes Away from DHA Lahore & Lahore Airport,2.0,57.0,57.0,USD,nightly,Farrukh,1.0,https://www.airbnb.com/users/show/56489297,56489297.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Farrukh,Private room ,5.0,Not Available,False,0,False,0
"Rawalpindi, Punjab, Pakistan",False,33.54927,73.13186,"1B Executive Ap. W/ Free WiFi, Netflix & Smart TV",2.0,51.0,51.0,USD,nightly,Hussain,1.0,https://www.airbnb.com/users/show/192236193,192236193.0,English,हिन्दी,Punjabi,Pashto,Not Available,1.0,within an hour,Hussain,Entire place,4.93,"This is Hussain Lashari working in Real Estate Development Company named Earthlink, here in Bahria Town Rawalpindi. I'm Investment Portfolio 
Manager in the company & deals in high rised projects like commercial units in shopping malls, serviced apartments, luxury suites and penthouses etc. I love to travel and enjoy the food & company of different ethnicities.",False,41,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",True,33.68206,72.98793,1BHK Cozy Compact Private Apartment,3.0,35.0,35.0,USD,nightly,Waleed,1.0,https://www.airbnb.com/users/show/220055353,220055353.0,العربية,English,ਪੰਜਾਬੀ,Pashto,Not Available,1.0,within an hour,Waleed,Entire place,4.71,My life motto is ‘Do my best so that I can’t blame myself for anything.,False,357,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",True,33.70669,73.05031,1BHK Luxury Flat Elysium Towers,3.0,75.0,75.0,USD,nightly,Raja,1.0,https://www.airbnb.com/users/show/384487581,384487581.0,English,English,Punjabi,Pashto,Not Available,1.0,within an hour,Raja,Entire place,5.0,"I am Raja Umer, I currently live in islamabad and I am doing my masters from bahria university.",False,50,True,0
"Rawalpindi, Punjab, Pakistan",False,33.48686,73.08641,2 Bed apartment Fully furnished,4.0,74.0,74.0,USD,nightly,Waqas,1.0,https://www.airbnb.com/users/show/372281348,372281348.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Waqas,Entire place,5.0,Not Available,False,0,False,0
"Karachi, Sindh, Pakistan",False,24.87058,67.02377,2 Bed Apartment! I live all alone,3.0,57.0,57.0,USD,nightly,Junaid,1.0,https://www.airbnb.com/users/show/379404432,379404432.0,English,ਪੰਜਾਬੀ,Punjabi,Pashto,Not Available,0.0,a few days or more,Junaid,Private room,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.459,74.258,2 Bed Condo,4.0,34.0,34.0,USD,nightly,Mukarram,1.0,https://www.airbnb.com/users/show/385364577,385364577.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within an hour,Mukarram,Entire place,4.5,Not Available,False,8,True,0
"Rawalpindi, Punjab, Pakistan",False,33.55013,73.12282,2 bed flat available for rent bahria town phase 4,4.0,63.0,63.0,USD,nightly,Muhammad,1.0,https://www.airbnb.com/users/show/445303487,445303487.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Muhammad,Private room,5.0,Not Available,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.69413,72.9802,2 bed furnished portion on daily basis E.11,4.0,68.0,68.0,USD,nightly,Absar,1.0,https://www.airbnb.com/users/show/385815730,385815730.0,English,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Absar,Entire place,5.0,Not Available,False,1,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.68117,72.98755,2 bed lavish apartment in heart of the city,4.0,57.0,57.0,USD,nightly,Alee,1.0,https://www.airbnb.com/users/show/196719847,196719847.0,Urdu,English,Punjabi,Pashto,Not Available,0.75,within an hour,Alee,Entire place,5.0,Not Available,False,2,True,0
"Lahore, Punjab, Pakistan",False,31.44159,74.28233,2 Bed New corner Apartment,4.0,31.0,31.0,USD,nightly,Saqib,1.0,https://www.airbnb.com/users/show/40666245,40666245.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,1.0,within an hour,Saqib,Entire place,4.83,"I am entrepreneur, works for a construction company as well. Travelled to many countries and worked in couple too. I like to explore new destinations. I love hosting. My short term dream is to have at least a dozen apartments to welcome guests from around the world.",False,171,True,0
"Rawalpindi, Punjab, Pakistan",False,33.55002,73.11341,2 Bed room comfortable apartment for rent,4.0,67.0,67.0,USD,nightly,Asher,1.0,https://www.airbnb.com/users/show/230861358,230861358.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Asher,Entire place,5.0,Not Available,False,0,False,0
"Karachi, Sindh, Pakistan",False,24.80646,67.02613,2 bed room flat near Dolmen mall seaview,4.0,46.0,46.0,USD,nightly,Mohammad,1.0,https://www.airbnb.com/users/show/173905582,173905582.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Mohammad,Private room,5.0,Nothing to say,False,0,False,0
"Lahore, Punjab, Pakistan",False,31.48603,74.46864,2 Bedroom American Interior Suite in DHA,5.0,23.0,23.0,USD,nightly,Sadya,1.0,https://www.airbnb.com/users/show/400220073,400220073.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,1.0,within an hour,Sadya,Entire place,4.44,"I have done my Bachelors(Hons) in Business Admin and Finance from Windsor University Canada, On. 
I love travelling and I always had a real passion for staying at luxury hotels, so i booked alot of them just for the experience. 
I love to meet new people no matter where I go therefore i can be a perfect host :)
I have also traveled the world and stayed in a lot of Airbnbs' as a guest and now I am renting my properties for the last five years on Airbnb and other aaps.
I live in Canada.",False,46,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.6994,72.96726,2 Bedroom Apartment,4.0,76.0,76.0,USD,nightly,Capital Suites,1.0,https://www.airbnb.com/users/show/419699519,419699519.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Capital Suites,Private room,5.0,"Its a family apartment building & only family and couples are entertained on daily, weekly and monthly basses, no parties guest are allowed",True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",True,33.68071,72.9894,2 Bedroom Apartment 1500Sft/ F-11 markaz,4.0,74.0,74.0,USD,nightly,Bibi,1.0,https://www.airbnb.com/users/show/207836393,207836393.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within an hour,Bibi,Entire place,4.97,Not Available,False,30,True,0
