type,name,description
hotel,Golf View luxury icon suites,"Golf View luxury icon suites located at address not available in Lahore, costs Rs17456 per night. Description: DetailsLocated at 18 km-raiwind road Lahore.Each unit has fully equipped kitchen, microwave oven, tea cattle, toaster, and a full size fridge freezer. Two reception rooms with a flat-screen smart TV, dining area with a beautiful Lush green golf view. Indoor play area and four designer interior double bed rooms with attach baths includes shower screens and hair dryer facilities. Secure car park & wifi.We also provide dry cleaning/laundry and chef on demand services for an extra cost.No Dating couplesThe spaceWe also have the facilities to arrange open air barbecue in our beautifully managed sitting area's with water falls in the middle of our lush green Golf Course for a minimum of 30 plus guests.Above all it is a very secure apartment site with security guards guarding the place 24/7. This place is a feel like home and one can stay in a complete family and secured atmosphere.Our beautifully Moroccan architectural Masjid with blue and white Luxury carpet is just a minute away from the apartment.."
hotel,Second Home Group of Hostels ||Johar Town,"Second Home Group of Hostels ||Johar Town located at Block C1 Block C 1 Phase 1 Johar Town, Lahore, Punjab in Lahore, costs Rs12648 per night. Description: Check-in time: 00:00Check-out time: 00:00."
hotel,Bambino Hotel,"Bambino Hotel located at J، J368+R77، 237 Umar Rd, Dhoke Elahi Baksh, Rawalpindi, Punjab 46000 in Islamabad, costs Rs1985 per night. Description: On a bustling street with multiple casual restaurants and shops, this no-frills hotel is a 5-minute walk from a bus stop, 4 km from the Army Museum and 6 km from Ayub National Park.… MoreThe humble rooms provide flat-screen TVs, Wi-Fi, air conditioning and kettles. The 2-bedroom apartments offer separate living rooms and kitchens. Room service is available.Amenities include breakfast and parking.Check-in time: 00:00Check-out time: 12:00."
hotel,Light Family Couple Guest House,"Light Family Couple Guest House located at House.No, 23 Shan Bhatti Rd, Block K Phase 2 Ali Town, Lahore, Punjab 87340 in Lahore, costs Rs12648 per night. Description: Check-in time: 00:00Check-out time: 12:00."
hotel,Hotel Family Couple,"Hotel Family Couple located at 53 Sharah-e Shahrah-e-Quaid-e-Azam, Quaid-e-Azam Mozang Chungi, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: InternetWi-FiServicesFront desk24-hourFull-service laundryWellnessNo fitness centreNo spa."
hotel,Hotel Sky Inn,"Hotel Sky Inn located at address not available in Islamabad, costs Rs3056 per night. Description: DetailsEnglish,Garden,Body thermometer,Daily disinfection in all rooms,Daily disinfection in common areas,Doctor/nurse on call,Free face masks,Guest rooms seal after sanitization,Rooms sanitized between stays,Kitchen,Restaurants,Room service,Convenience store,Invoice provided,Ironing service,Smoke-free property,Terrace,Fire extinguisher,Front desk [24-hour],Car park [free of charge],Car park [nearby],Car park [on-site],Website."
hotel,City Palace Two Hotel,"City Palace Two Hotel located at Multan Rd, near Shahnoor Studio, Badar Block Allama Iqbal Town, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Comfortable stay with great amenities.."
hotel,Dove Inn Girls Hostel,"Dove Inn Girls Hostel located at Plot # 109 a, Garden Block Ali Block Garden Town, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Great dining options and nearby attractions.."
hotel,Oriole Guest House,"Oriole Guest House located at 9 Street 55, G-9/4 G 9/4 G-9, Islamabad, Islamabad Capital Territory 44090 in Islamabad, costs Rs4028 per night. Description: Among commercial properties in the city centre, this down-to-earth hotel is 5 km from Islamabad Railway Station, 7 km from Faisal Mosque and 12 km from Lake View Park.… MoreThe straightforward rooms provide Wi-Fi, air conditioning and TVs. All come with en suite bathrooms, while some sleep up to 4 guests.The hotel features a garden.Check-in time: 14:00Check-out time: 12:00."
hotel,Fortress Star Hotel,"Fortress Star Hotel located at G9HC+3V6, Shami Rd, Cantt, Lahore, Punjab 54840 in Lahore, costs Rs12648 per night. Description: Check-in time: 14:00Check-out time: 12:00."
hotel,430,"430 located at Street 3, Sector F-15/2 Street no 3 Jammu and Kashmir Housing Society, F-15/2 Islamabad, 44150 in Islamabad, costs Rs5000 per night. Description: Check-out time: 11:00."
hotel,Jahangir Villa Guest House (for ladies only),"Jahangir Villa Guest House (for ladies only) located at Phase No. 1, Nash-e-Maan, Khayaban-e-Jinnah, Iqbal Avenue Housing Society, Lahore in Lahore, costs Rs12648 per night. Description: Check-out time: 11:00."
hotel,Flexi dreams hospitality services Islamabad,"Flexi dreams hospitality services Islamabad located at Street 55, MPCHS E-11/3 MPCHS E 11/3 E-11, Islamabad, Islamabad Capital Territory in Islamabad, costs Rs6084 per night. Description: InternetWi-FifreeServicesFront desk24-hourFull-service laundryParking & transportParkingfree."
hotel,Kamran Travel,"Kamran Travel located at Al Nazir Hotel, Fawara Chowk, Shah Alam Market, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Check-in time: 00:00Check-out time: 12:00."
hotel,Grand Islamabad Hotel,"Grand Islamabad Hotel located at address not available in Islamabad, costs Rs21060 per night. Description: This casual hotel among shops and eateries is 8 km from Fatima Jinnah Park, 10 km from Faisal Mosque and 28 km from Islamabad International Airport.… MoreWarmly furnished rooms offer balconies, flat-screen TVs and minifridges, in addition to tea and coffeemaking facilities, and free Wi-Fi. Suites add kitchenettes and/or living areas. Room service is available 24/7.An airport shuttle is complimentary. Breakfast is served in a rooftop restaurant that features city views. There's also a cafe and event space.Check-out time: 12:00."
hotel,Continental Boys Hostel Model Town,"Continental Boys Hostel Model Town located at HabibUllah Park, 20 Model Town Link Rd, G. E. C. H. S Phase 3 Model Town, Lahore, Punjab 54700 in Lahore, costs Rs12648 per night. Description: InternetWi-FifreePoolsNo hot tubWellnessNo fitness centreBathroomsPrivate bathroomShower."
hotel,Hotel Daffodils,"Hotel Daffodils located at Phase 4, 167 Block D St, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab 44000 in Islamabad, costs Rs6000 per night. Description: Check-out time: 12:00."
hotel,Regale Internet Inn,"Regale Internet Inn located at Surriaya Mansion,, 65 The Mall, Mozang Chungi, Lahore, Punjab 54000 in Lahore, costs Rs19567 per night. Description: Check-in time: 14:00Check-out time: 12:00."
hotel,Executive Hospitality (Hotel & Resort) Islamabad,"Executive Hospitality (Hotel & Resort) Islamabad located at F, A street 45 F 7/1, 7/1 Marvi Rd, Islamabad, 75000 in Islamabad, costs Rs9179 per night. Description: Check-in time: 12:00Check-out time: 14:00."
hotel,Eastern Lodge Guest House,"Eastern Lodge Guest House located at 256/A-1, Gurumangat Rd، opposite Nisar Art Press, Block A 1 Gulberg III, Lahore, Punjab 54660 in Lahore, costs Rs6180 per night. Description: Check-in time: 12:00Check-out time: 12:00."
hotel,Canadian Inn Hotel Islamabad,"Canadian Inn Hotel Islamabad located at address not available in Islamabad, costs Rs5504 per night. Description: Set in gardens, this casual hotel is 9 km from Faisal Mosque and 20 km from Lake View Park. Islamabad International Airport is 30 km away.… MoreSimple rooms feature TVs, Wi-Fi and air conditioning, as well as en suite bathrooms. Suites add separate seating areas.Amenities include a restaurant, a lounge and a garden, plus a shared kitchen, a terrace and evening entertainment. Parking, an airport shuttle and breakfast are available.Check-in time: 14:00Check-out time: 12:00."
hotel,Uptown 86 Executive Residency (Girls only),"Uptown 86 Executive Residency (Girls only) located at address not available in Lahore, costs Rs12648 per night. Description: Ideal for short and long stays.."
hotel,Hotel Tulip Inn,"Hotel Tulip Inn located at J358+R73, Murree Rd, Aria Mohalla Marir, Rawalpindi, Punjab 46000 in Islamabad, costs Rs3491 per night. Description: Check-in time: 14:00."
hotel,Diamond Hotel,"Diamond Hotel located at 385 B, Block J 3 Phase 2 Johar Town, Lahore, Punjab 54782 in Lahore, costs Rs21741 per night. Description: Comfortable stay with great amenities.."
hotel,Dream Land Hotel,"Dream Land Hotel located at H867+6WX, Mozang Chungi, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Family-friendly environment with modern facilities.."
hotel,Intellectual Inn Hotel,"Intellectual Inn Hotel located at address not available in Islamabad, costs Rs5541 per night. Description: A 6-minute walk from a bustling road lined with shops and eateries, this straightforward hotel in a residential area next to the Soan River is 11 km from the zoo and boating lake at Ayub National Park. Islamabad International Airport is 15 km away.… MoreThe unassuming rooms have flat-screen TVs, Wi-Fi and minibars. Upgraded rooms add access to tea and coffeemaking facilities; the 2-bedroom suites feature kitchens and living rooms. Room service is offered.There's a low-key lobby lounge with a TV. Continental breakfast is available.Check-in time: 12:00Check-out time: 12:00."
hotel,Hotel and Restaurant Anarkali Inn,"Hotel and Restaurant Anarkali Inn located at address not available in Lahore, costs Rs12648 per night. Description: Set on a bustling intersection in a commercial neighbourhood, this unpretentious budget hotel is 8 minutes' walk from the closest metro station and 3 km from Lahore Fort.… MoreThe straightforward, colourful rooms come with Wi-Fi and flat-screen TVs, as well as air conditioning and en suite bathrooms. Some rooms sleep up to 4 people.Breakfast is available.Check-in time: 07:00Check-out time: 16:00."
hotel,Reina boutique hotel - G6/3,"Reina boutique hotel - G6/3 located at House 9, 3 Street 1, G-6/3 G 6/3 G-6, Islamabad, Islamabad Capital Territory in Islamabad, costs Rs10530 per night. Description: Set within a residential area, this unpretentious hotel is 10 minutes away on foot from a metro station, 2 km from Pakistan National Council of Arts (PNCA) and 4 km from Marghazar Zoo.… MoreThe warmly decorated, down-to-earth rooms feature TVs and minifridges, along with sitting areas.There's a terrace and parking. Halal and continental breakfast are also available.Check-in time: 12:00Check-out time: 12:00."
hotel,Pace view Hotel Gulberg,"Pace view Hotel Gulberg located at 110, behind Hafeez Center, Block E1 Block B Gulberg 2, Lahore, Punjab 54000 in Lahore, costs Rs5455 per night. Description: Ideal for short and long stays.."
hotel,Ideal Girls Hostel,"Ideal Girls Hostel located at 51, near Dubai Chowk and Moon Market, Kashmir Block Allama Iqbal Town, Lahore, 54570 in Lahore, costs Rs12648 per night. Description: Check-out time: 11:00."
hotel,Sky Lodge Guest House,"Sky Lodge Guest House located at House # 46 Street 487, G-13/1 G 13/1 G-13, Islamabad, Islamabad Capital Territory 44220 in Islamabad, costs Rs4873 per night. Description: Check-in time: 15:00."
hotel,Multazam Heights,"Multazam Heights located at 3 L Commercial, Block L DHA Phase 8, Lahore, Punjab 54792 in Lahore, costs Rs18792 per night. Description: Check-in time: 14:00."
hotel,One Bed Apartment with Terrace,"One Bed Apartment with Terrace located at address not available in Lahore, costs Rs6027 per night. Description: DetailsIts a one bed room independent apartment with attached bath and separate kitchen.  its on roof top of the apartment building with a terrace where guests can sit and relax with beautiful views of the city.  Few planters at the top add to the beauty of this place. Kitchen is equipped with big size fridge and oven.  Gas stove is also available.  Essential Crockery for cooking is also placed inside. Guests climb stairs to reach this third floor apartment.."
hotel,Sintra Hotel,"Sintra Hotel located at Sintra Hotel, G-6 Markaz G 6 Markaz G-6, Islamabad, Islamabad Capital Territory 44000 in Islamabad, costs Rs16830 per night. Description: Check-out time: 12:00."
hotel,Full Private House Floor with Lounge  Balcony - Townhouse - Homestay - One-Bedroom House,"Full Private House Floor with Lounge  Balcony - Townhouse - Homestay - One-Bedroom House located at address not available in Lahore, costs Rs6373 per night. Description: DetailsOffering quiet street views, Full Private House Floor with Lounge  Balcony - Townhouse - Homestay is an accommodation located in Lahore, 16 km from Emporium Mall and 24 km from Gaddafi Stadium. This spacious holiday home includes 1 living room, 1 separate bedroom and 1 bathroom with a walk-in shower and free toiletries. The kitchen is fitted with a refrigerator, a dishwasher and kitchenware. The air-conditioned holiday home offers a flat-screen TV with cable channels, a seating area, a wardrobe, a safe deposit box as well as garden views. The unit has 2 beds.Website."
hotel,Punjab Continental Hotel,"Punjab Continental Hotel located at address not available in Lahore, costs Rs21107 per night. Description: Check-in time: 14:00."
hotel,Modern Hotel,"Modern Hotel located at H8GM+5RF, Nishter Rd, Garhi Shahu, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Check-in time: 00:00Check-out time: 00:00."
hotel,MARGALLA Hills Residency Islamabad E-11/3,"MARGALLA Hills Residency Islamabad E-11/3 located at address not available in Islamabad, costs Rs8775 per night. Description: Set on a busy commercial street, this unassuming hotel is 11 km from Margalla Hills National Park, 12 km from Islamabad train station and 16 km from the Pakistan Monument.… MoreThe relaxed, air-conditioned rooms have Wi-Fi and TVs, as well as sitting areas. Upgraded rooms add living areas with sofas. Room service is available 24/7.Amenities include a casual restaurant and a fitness centre.Check-in time: 14:00Check-out time: 12:00."
hotel,Alnoor palace Hotel,"Alnoor palace Hotel located at Opposit Anwar Hospital, 74 Band Rd, near dogar rent a car, Sodhiwal, Lahore, Punjab 54000 in Lahore, costs Rs19798 per night. Description: Check-in time: 12:00Check-out time: 12:00."
hotel,Royal Blue inn House,"Royal Blue inn House located at House 935 Street 29, G-9/1 G 9/1 G-9, Islamabad, Islamabad Capital Territory 44090 in Islamabad, costs Rs4723 per night. Description: Check-out time: 12:00."
hotel,Green view hotel,"Green view hotel located at address not available in Lahore, costs Rs12648 per night. Description: Check-out time: 12:00."
hotel,United Hotel,"United Hotel located at Lakshmi Chowk, 1 Abbott Road, Montgomery Park Qila Gujjar Singh, Lahore, Punjab 54000 in Lahore, costs Rs15443 per night. Description: Check-out time: 12:00."
hotel,Alpine Lodges,"Alpine Lodges located at PX29+2C9, F-11/3 FECHS F 11/3 F-11, Islamabad, Islamabad Capital Territory in Islamabad, costs Rs7605 per night. Description: Affordable luxury with excellent service.."
hotel,Hotel New Taj International,"Hotel New Taj International located at J-310, Committee Chowk, Murree Rd, Dhoke Elahi Baksh, Rawalpindi, Punjab 46000 in Islamabad, costs Rs2974 per night. Description: Check-in time: 14:00Check-out time: 12:00."
hotel,Safari Hotel Mall Road,"Safari Hotel Mall Road located at address not available in Lahore, costs Rs8166 per night. Description: Check-in time: 12:00Check-out time: 12:00."
hotel,Spring Edge Villa - Deluxe Double Room,"Spring Edge Villa - Deluxe Double Room located at address not available in Islamabad, costs Rs3988 per night. Description: DetailsDishes and dining utensils,Freezer,Kitchen basics (cookware, oils, condiments),Microwave,Refrigerator,Stove,Fans (ceiling or portable),Balcony or terrace,Garden or backyard,Cable channels,Internet,TV,Wi-Fi,Air conditioning,Heater,Linens,Private entrance,Kitchen,Free parking,Toiletries,Towels,Closet,Iron,Website."
hotel,Luxurious Apt in Bahria Town on Main Road.,"Luxurious Apt in Bahria Town on Main Road. located at address not available in Islamabad, costs Rs4537 per night. Description: DetailsGet your trip off to a great start with a stay at this property, which offers car park free of charge. Conveniently situated in the Bahria Intellectual Village part of Rawalpindi, this property puts you close to attractions and interesting dining options. This 5-star property is packed with in-house facilities to improve the quality and joy of your stay.."
hotel,Deluxe King room,"Deluxe King room located at address not available in Islamabad, costs Rs8993 per night. Description: DetailsFreezer,Refrigerator,Body wash,Balcony or terrace,BBQ grill,Cleaned by professional cleaning company,Cleaning products used based on health guidelines,Contactless check-in/check-out,Cable channels,Internet,TV,Wi-Fi,Air conditioning,Heater,Linens,Coffee or tea,Hair dryer,Toiletries,Towels,Desk/workspace,Elevator,Dryer,Iron,Washer,Carbon monoxide detector,First aid kit,Smoke detector,Smoking allowed,Security [24-hour],Free parking,Website."
hotel,STAY INN MOTEL,"STAY INN MOTEL located at 213 Multan Rd, Mehran Block Allama Iqbal Town, Lahore, Punjab in Lahore, costs Rs12648 per night. Description: Ideal for short and long stays.."
hotel,Signature Residence,"Signature Residence located at address not available in Islamabad, costs Rs10065 per night. Description: DetailsSignature Residence is located in F-7 Sector, a neighborhood in Islamabad. Safa Gold Mall and The Raja Bazaar are worth checking out if shopping is on the agenda, while those wishing to experience the area's natural beauty can explore Margalla Hills National Park and Ayub National Park. Looking to enjoy an event or a game while in town? See what's happening at Jinnah Sport Stadium or Rawalpindi Cricket Stadium.."
hotel,Hotel Gulberg Lodges,"Hotel Gulberg Lodges located at address not available in Lahore, costs Rs5951 per night. Description: Check-in time: 14:00Check-out time: 12:00."
hotel,SPACE Luxury Rental Suites - One-Bedroom Apartment,"SPACE Luxury Rental Suites - One-Bedroom Apartment located at address not available in Islamabad, costs Rs9801 per night. Description: DetailsFeaturing mountain views, SPACE Luxury Rental Suites provides accommodation with balcony, around 28 km from Shah Faisal Mosque. Both free WiFi and parking on-site are available at the aparthotel free of charge. Boasting a private entrance, this air-conditioned apartment features 1 living room, 1 separate bedroom and 1 bathroom with a walk-in shower and a bath. In the kitchen, guests will find a stovetop, a refrigerator, kitchenware and an oven. Featuring a terrace with mountain views, this apartment also features soundproof walls and a flat-screen TV with cable channels. The unit has 1 bed.Website."
hotel,Asaish Inn Guest House Lahore,"Asaish Inn Guest House Lahore located at House No. 23, Main Shan Bhatti Rd, Block K Phase 2 Ali Town, Lahore, Punjab 87340 in Lahore, costs Rs12648 per night. Description: Perfect for business and leisure travelers.."
hotel,Asli Sasta Hotel,"Asli Sasta Hotel located at Near Data Darbar Rd, Data Gunj Buksh Town, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Located in the heart of the city.."
hotel,Reina Boutique Hotel - G-9/3,"Reina Boutique Hotel - G-9/3 located at address not available in Islamabad, costs Rs7254 per night. Description: Set 5 km from the contemporary Shah Faisal Masjid mosque, this informal hotel is 13 km from Lake View Park and 30 km from lslamabad International Airport.… MoreUnassuming rooms come with Wi-Fi and en suite wet rooms. Some have sitting areas. Room service is available.Amenities include a lobby lounge with sofas, as well as a garden and a rooftop terrace. Continental breakfast, parking and an airport shuttle are available.Check-in time: 12:00Check-out time: 12:00."
hotel,New Gardan Hotel,"New Gardan Hotel located at address not available in Lahore, costs Rs12648 per night. Description: RoomsAir conditioning."
hotel,Continental Boys hostel (Raza House),"Continental Boys hostel (Raza House) located at Raza, Builing no. 1,Behind Al-Hafiz Trade centre Model Town Link Road, Street, Lahore, 54400 in Lahore, costs Rs12648 per night. Description: Affordable luxury with excellent service.."
hotel,Versa Appartments and Gulberg Lodges,"Versa Appartments and Gulberg Lodges located at 18b e2 e2, Block C3 Block C 3 Gulberg III, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Ideal for short and long stays.."
hotel,Hotel Hillview Islamabad,"Hotel Hillview Islamabad located at address not available in Islamabad, costs Rs25799 per night. Description: Surrounded by shops in the city centre, this low-key hotel in a whitewashed building is 3 km from the Shah Faisal Mosque and the Islamabad Zoo, and 17 km from the Benazir Bhutto International Airport.… MoreThe unfussy rooms have a warm vibe, and feature free Wi-Fi and flat-screen TVs, plus minibars and safes. Suites add living rooms. Kids age 11 and under stay at no charge in a parent's room. Room service is available.Airport shuttle service is complimentary, as is a breakfast buffet served in an understated restaurant.Check-in time: 14:00Check-out time: 12:00."
hotel,Family Hotel For Families And Companies,"Family Hotel For Families And Companies located at Hotel park view, 323 r2, Johar Town, Lahore, 54000 in Lahore, costs Rs12648 per night. Description: Ideal for short and long stays.."
hotel,Hotel Royal inn,"Hotel Royal inn located at FCWC+7JJ, Khuda Buksh Colony KB Society, Lahore, Punjab in Lahore, costs Rs21686 per night. Description: Check-out time: 12:00."
hotel,GARDENIA HOTEL LAHORE,"GARDENIA HOTEL LAHORE located at Barket Market، Kamal Ahmed Changezi Road، 12 Civic Center St، Neaw, Lahore, 54600 in Lahore, costs Rs13339 per night. Description: Check-in time: 13:00Check-out time: 12:00."
hotel,Shelton's Ambassador,"Shelton's Ambassador located at address not available in Islamabad, costs Rs20592 per night. Description: Check-in time: 14:00."
hotel,Old Anarkali Food Street,"Old Anarkali Food Street located at H885+9PQ, Anarkali Road, Sunehri Mandi Civil Lines, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Ideal for short and long stays.."
hotel,Avari Xpress Residences Islamabad Hotel,"Avari Xpress Residences Islamabad Hotel located at Islamabad Express Highway, Service Rd E, Faizabad, Islamabad, Islamabad Capital Territory 46000 in Islamabad, costs Rs26890 per night. Description: Set off the Islamabad Expressway, this relaxed hotel is 7 km from Lok Virsa Heritage Museum and 10 km from Shakarparian National Park.… MoreInformal rooms with a classic vibe feature Wi-Fi, TVs and minifridges. Suites have living rooms, and tea and coffeemaking facilities. An upgraded suite adds a kitchenette with a dining area. Room service is available.Amenities include a restaurant and a fitness centre, plus parking and a breakfast buffet.Check-in time: 14:00Check-out time: 12:00."
hotel,Libra Family Guest House,"Libra Family Guest House located at 958-B, near Ravi Restaurant, Block B Faisal Town, Lahore, Punjab 54782 in Lahore, costs Rs19755 per night. Description: Check-in time: 00:00Check-out time: 12:00."
hotel,ORIENTAL HOTEL-东方酒店,"ORIENTAL HOTEL-东方酒店 located at address not available in Islamabad, costs Rs13853 per night. Description: Check-out time: 12:00."
hotel,Hotel Day IN Gulberg,"Hotel Day IN Gulberg located at address not available in Lahore, costs Rs4838 per night. Description: DetailsGet your trip off to a great start with a stay at this property, which offers car park free of charge. Conveniently situated in the Gulburg part of Lahore, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Allama Iqbal International Airport.."
hotel,Delano Guest House,"Delano Guest House located at address not available in Islamabad, costs Rs5850 per night. Description: Check-out time: 12:00."
hotel,Stayhot,"Stayhot located at address not available in Lahore, costs Rs7450 per night. Description: DetailsBalcony or terrace, Air conditioning, Towels, Free parking,Website."
hotel,EXPO VIEW HOTEL,"EXPO VIEW HOTEL located at 259 Service Rd, Block H-2 Block H 2 Block L Johar Town, Lahore, Punjab in Lahore, costs Rs12648 per night. Description: Check-out time: 11:00."
hotel,"Family Lodges, Guest House in Islamabad","Family Lodges, Guest House in Islamabad located at house no 406, Main Ibn-e-Sina Rd, G-10/2 G 10/2 G-10, Islamabad, Islamabad Capital Territory in Islamabad, costs Rs6669 per night. Description: InternetWi-FifreeServicesFront desk24-hourFull-service laundryParking & transportParkingfreeAirport shuttleextra chargeLocal shuttleAccessibilityAccessiblePetsPet-friendlyfree."
hotel,Queen's Palace Girls Hostel,"Queen's Palace Girls Hostel located at House No. 16/4, Qartaba Chowk Clock Tower, Main Link Ferozepur Rd, near GOR 2, Jinnah Town, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Affordable luxury with excellent service.."
hotel,Hotel crown palace,"Hotel crown palace located at hotel Crown Palace, main Service Rd, near G-11 single Nust metro bus stop, G-12/4 G-12, Islamabad, Islamabad Capital Territory 54000 in Islamabad, costs Rs5850 per night. Description: Check-out time: 11:00."
hotel,Ittehad Hotel( اتحاد ہوٹل),"Ittehad Hotel( اتحاد ہوٹل) located at H8GM+7PG ittehad hotel, Nishter Rd, opposite parkway hotel, Garhi Shahu, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Check-in time: 00:00Check-out time: 00:00."
hotel,Diplomat hotel in Islamabad,"Diplomat hotel in Islamabad located at address not available in Islamabad, costs Rs9269 per night. Description: Overlooking a city park, this low-key hotel is 2 km from the Pakistan Monument and 6 km from the Faisal Mosque. Islamabad International Airport is 33 km away.… MoreStraightforward rooms offer Wi-Fi, TVs and sitting areas, as well as en suite wet rooms. Upgraded rooms add minifridges. Suites feature separate living rooms.Amenities include an informal lounge and a breakfast buffet.Check-in time: 14:00Check-out time: 12:00."
hotel,Hotel Suite Inn Lahore,"Hotel Suite Inn Lahore located at METRO Airport Road Store, Lahore، Eden avenue near, Airport Rd, Cantt, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Check-in time: 12:00Check-out time: 12:00."
hotel,Homely Guest house Bahria Town,"Homely Guest house Bahria Town located at House 1554 Street 44, Bahria Safari Valley Usman Block Bahria Safari Valley, Rawalpindi, Punjab in Islamabad, costs Rs4899 per night. Description: Check-in time: 02:00Check-out time: 12:00."
